                                                                              23 Dec 2020 13:44:59
Approved AGI Educational Alliance Partner
Satellite-Satellite2-To-AreaTarget-United_States_of_America:  Access Summary Report


Satellite2-To-United_States_of_America
--------------------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                      72     2 Jan 2021 02:55:27.847     2 Jan 2021 03:10:50.005           922.158
                      73     2 Jan 2021 04:28:44.003     2 Jan 2021 04:46:07.658          1043.655
                      74     2 Jan 2021 06:03:20.086     2 Jan 2021 06:21:31.919          1091.833
                      75     2 Jan 2021 07:38:36.231     2 Jan 2021 07:56:58.163          1101.932
                      76     2 Jan 2021 09:14:23.876     2 Jan 2021 09:30:31.686           967.810
                      77     2 Jan 2021 10:51:46.021     2 Jan 2021 10:57:26.702           340.681
                      78     2 Jan 2021 23:59:12.267     3 Jan 2021 00:06:06.871           414.603
                      79     3 Jan 2021 01:30:41.592     3 Jan 2021 01:43:34.247           772.655
                      80     3 Jan 2021 03:04:03.114     3 Jan 2021 03:19:49.475           946.362
                      81     3 Jan 2021 04:37:31.014     3 Jan 2021 04:55:04.730          1053.715
                      82     3 Jan 2021 06:12:16.670     3 Jan 2021 06:30:33.487          1096.817
                      83     3 Jan 2021 07:47:35.180     3 Jan 2021 08:05:51.312          1096.132
                      84     3 Jan 2021 09:23:30.538     3 Jan 2021 09:38:50.660           920.122
                      85     3 Jan 2021 11:01:34.001     3 Jan 2021 11:05:06.505           212.503
                      86     4 Jan 2021 00:07:52.768     4 Jan 2021 00:15:23.530           450.762
                      87     4 Jan 2021 01:39:25.056     4 Jan 2021 01:52:45.702           800.646
                      88     4 Jan 2021 03:12:34.216     4 Jan 2021 03:28:47.682           973.466
                      89     4 Jan 2021 04:46:20.104     4 Jan 2021 05:04:01.103          1060.999
                      90     4 Jan 2021 06:21:13.422     4 Jan 2021 06:39:34.298          1100.876
                      91     4 Jan 2021 07:56:34.573     4 Jan 2021 08:14:42.411          1087.838
                      92     4 Jan 2021 09:32:38.716     4 Jan 2021 09:46:33.687           834.970
                      93     5 Jan 2021 00:16:32.987     5 Jan 2021 00:24:36.650           483.663
                      94     5 Jan 2021 01:48:11.711     5 Jan 2021 02:01:56.946           825.235
                      95     5 Jan 2021 03:21:11.513     5 Jan 2021 03:37:44.666           993.153
                      96     5 Jan 2021 04:55:10.711     5 Jan 2021 05:12:56.693          1065.982
                      97     5 Jan 2021 06:30:09.852     5 Jan 2021 06:48:34.242          1104.390
                      98     5 Jan 2021 08:05:34.770     5 Jan 2021 08:23:31.126          1076.357
                      99     5 Jan 2021 09:41:48.222     5 Jan 2021 09:54:36.913           768.691
                     100     6 Jan 2021 00:24:08.967     6 Jan 2021 00:33:47.538           578.571
                     101     6 Jan 2021 01:57:00.980     6 Jan 2021 02:11:04.654           843.674
                     102     6 Jan 2021 03:29:53.085     6 Jan 2021 03:46:40.455          1007.370
                     103     6 Jan 2021 05:04:02.810     6 Jan 2021 05:21:51.630          1068.819
                     104     6 Jan 2021 06:39:06.969     6 Jan 2021 06:57:33.741          1106.772
                     105     6 Jan 2021 08:14:35.887     6 Jan 2021 08:32:17.014          1061.127
                     106     6 Jan 2021 09:51:00.530     6 Jan 2021 10:03:13.461           732.931
                     107     6 Jan 2021 23:01:44.153     6 Jan 2021 23:04:39.188           175.035
                     108     7 Jan 2021 00:32:27.178     7 Jan 2021 00:43:11.756           644.578
                     109     7 Jan 2021 02:05:48.329     7 Jan 2021 02:20:09.793           861.464
                     110     7 Jan 2021 03:38:37.891     7 Jan 2021 03:55:36.785          1018.893
                     111     7 Jan 2021 05:12:56.195     7 Jan 2021 05:30:50.479          1074.285
                     112     7 Jan 2021 06:48:04.710     7 Jan 2021 07:06:32.172          1107.461
